cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-1,P_+0,P_+1
11,cyclic,4.0,0.00027704826299686534,0.018402165056425168,3.400058012914542e-16,2.1172735319705142e-17,7.914675859143751e-18,2.4936649967166602e-18,0.0016703590897962743,0.0,1.0000000000000289,2.886579864025407e-14,8.738669510232913e-17,0.001709319163698303,0.018402165056425255,2.374259372923577e-16,1.3012364727273207e-16,1.070264066544381e-16,2.970713952610282e-17,0.01837619662839439,0.001709319163698303,1.057688742839798e-11,0.0008546595818491078,0.9982906808363305,0.0008546595818491951
12,cyclic,4.0,0.0002769855392797873,0.018402165056425137,2.723515857283587e-16,4.0589024020625513e-17,7.589415207398149e-18,3.7947076036992655e-18,0.0016702661538275237,0.0,1.0000000000000306,3.064215547965432e-14,9.497611030972728e-17,0.0018478089317584137,0.018402165056425255,2.065631796904811e-16,8.977341959381876e-17,1.163215040065603e-16,3.350184712980209e-17,0.020046462782221913,0.0018478089317584137,1.0576887428398009e-11,0.0009239044658791594,0.9981521910682721,0.0009239044658792544
13,cyclic,4.0,0.0002769263793804628,0.018402165056425224,4.0766001685454967e-16,2.612203750495149e-17,8.02309607639224e-18,4.0115480381963664e-18,0.0016701656082093591,0.0,1.000000000000033,3.3084646133829665e-14,1.0299920638611952e-16,0.0019862683976081983,0.01840216505642512,1.6213655646451621e-16,3.625989207933157e-17,1.261477497788037e-16,3.7513395167998453e-17,0.021716628390431272,0.0019862683976081983,1.0576887428398043e-11,0.0009931341988040476,0.9980137316024249,0.0009931341988041506
14,cyclic,4.0,0.0002768682768054447,0.0184021650564252,3.400058012914542e-16,2.6889194256278765e-17,7.155734338403886e-18,3.469446951953614e-18,0.0016700597865191014,0.0,1.0000000000000349,3.4861002973229915e-14,1.101549407245234e-16,0.0021246983661687806,0.018402165056425255,1.5606037933521353e-16,2.1360893610133707e-17,1.3491169871080453e-16,4.098284211995207e-17,0.023386688176950374,0.0021246983661687806,1.0576887428398062e-11,0.0010623491830843352,0.997875301633866,0.0010623491830844454
15,cyclic,4.0,0.00027681056436311695,0.018402165056425224,2.723515857283587e-16,2.0291788837260223e-17,5.421010862427226e-18,3.469446951953614e-18,0.0016699504182573002,0.0,1.0000000000000357,3.574918139293004e-14,1.1557595158695063e-16,0.0022630992009664303,0.01840216505642512,1.543172892318759e-16,1.3032328179245206e-17,1.4155105396232037e-16,4.445228907190568e-17,0.025056638595207674,0.0022630992009664303,1.0576887428398074e-11,0.0011315496004831573,0.9977369007990693,0.0011315496004832728
16,cyclic,4.0,0.0002767529790636965,0.018402165056425203,3.400058012914542e-16,6.206578216039182e-17,6.722053469409536e-18,2.168404344971009e-18,0.0016698387218553393,0.0,1.0000000000000386,3.863576125695545e-14,1.2229800505636017e-16,0.002401471070121802,0.01840216505642512,2.695215142375157e-16,1.2107104199717752e-16,1.4978385447419974e-16,4.662069341687669e-17,0.026726477317063013,0.002401471070121802,1.0576887428398085e-11,0.00120073553506084,0.9975985289299167,0.0012007355350609622
17,zero_stress_hold,4.0,0.0002766954241097888,0.018402165056425192,4.0766001685454967e-16,4.945599966644005e-17,7.155734338403343e-18,3.0357660829594124e-18,0.0016697255257993524,0.0,1.0000000000000442,4.418687638008123e-14,1.294537393947635e-16,0.0025398140541705236,0.018402165056425255,3.7315990459006873e-16,2.151671097869252e-16,1.5854780340619993e-16,4.96564594998361e-17,0.028396202842862366,0.0025398140541705236,1.057688742839812e-11,0.001269907027085197,0.9974601859458736,0.0012699070270853264
18,zero_stress_hold,4.0,0.00027663786883836084,0.018402165056425175,4.0766001685454967e-16,3.9764161935567724e-17,9.324138683374401e-18,4.336808689942018e-18,0.0016696113792326883,0.0,1.000000000000048,4.796163466380676e-14,1.387778780781379e-16,0.002678128193885866,0.018402165056425255,4.273037169912721e-16,2.5675566799267957e-16,1.6996749443880663e-16,5.399326818977812e-17,0.030065814222095054,0.002678128193885866,1.057688742839817e-11,0.0013390640969428635,0.997321871806162,0.0013390640969430023
19,zero_stress_hold,4.0,0.00027658030730710377,0.01840216505642516,3.400058012914542e-16,3.4980778794156574e-17,7.372574772900518e-18,2.6020852139652106e-18,0.0016694966393843574,0.0,1.0000000000000517,5.1736392947532295e-14,1.4615045285103843e-16,0.0028164135117464627,0.018402165056425255,3.8979512039251627e-16,2.1050977065536462e-16,1.7899701758086756e-16,5.659535340374333e-17,0.03173531086147941,0.0028164135117464627,1.0576887428398208e-11,0.0014082067558731583,0.9971835864883053,0.0014082067558733044
20,zero_stress_hold,4.0,0.000276522741693374,0.018402165056425217,3.400058012914542e-16,3.4069942245588995e-17,4.336808689941426e-18,2.168404344971009e-18,0.0016693815354183947,0.0,1.0000000000000542,5.417888360170764e-14,1.5048726154097986e-16,0.0029546700216932617,0.01840216505642512,3.334561711612785e-16,1.4889214497445037e-16,1.843085017820798e-16,5.876375774871434e-17,0.033404692396897806,0.0029546700216932617,1.0576887428398238e-11,0.0014773350108465556,0.997045329978361,0.001477335010846706
21,zero_stress_hold,4.0,0.0002764651759687603,0.018402165056425182,3.400058012914542e-16,1.9464203579150706e-17,2.8189256484616213e-18,4.119968255444917e-18,0.0016692662128091201,0.0,1.0000000000000577,5.773159728050814e-14,1.5330618718944148e-16,0.0030928977336217014,0.018402165056425255,3.1353564158349194e-16,1.2603960090614894e-16,1.8776096651286738e-16,6.288372600415926e-17,0.035073958609706926,0.0030928977336217014,1.0576887428398276e-11,0.0015464488668107742,0.9969071022664358,0.0015464488668109275
22,zero_stress_hold,4.0,0.00027640761378351457,0.018402165056425206,3.400058012914542e-16,4.7008191279619216e-17,4.336808689941525e-18,3.903127820947816e-18,0.0016691507631723945,0.0,1.0000000000000593,5.928590951498336e-14,1.57642995879383e-16,0.003231096655478451,0.01840216505642512,2.304603199741781e-16,3.6821125077935317e-17,1.9307245071407973e-16,6.678685382510707e-17,0.03674310937287932,0.003231096655478451,1.0576887428398297e-11,0.0016155483277391467,0.9967689033445808,0.0016155483277393043
23,zero_stress_hold,4.0,0.0002763500579232531,0.018402165056425206,3.400058012914542e-16,3.3332092023301e-17,3.2526065174560696e-18,2.8189256484623115e-18,0.0016690352438563441,0.0,1.0000000000000608,6.084022174945858e-14,1.6089560239683907e-16,0.0033692667942544943,0.01840216505642512,1.6841904637125855e-16,-2.7782719204726724e-17,1.970560638649889e-16,6.960577947356938e-17,0.038412144616735665,0.0033692667942544943,1.0576887428398327e-11,0.0016846333971271667,0.9966307332058063,0.0016846333971273276
24,zero_stress_hold,4.0,0.0002762925103549737,0.018402165056425192,3.400058012914542e-16,2.2873486565822562e-17,4.987329993432729e-18,2.8189256484623115e-18,0.0016689196905927128,0.0,1.0000000000000626,6.261657858885883e-14,1.658829323902718e-16,0.003507408156462952,0.018402165056425255,1.8158195718211006e-16,-2.1000916067589993e-17,2.031642706963831e-16,7.24247051220317e-17,0.04008106430732838,0.003507408156462952,1.0576887428398348e-11,0.001753704078231393,0.9964925918435997,0.0017537040782315588
