cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-3,P_-2,P_-1,P_+0,P_+1,P_+2,P_+3
11,cyclic,40.0,0.0027164539252190235,0.018402165056425328,4.0766001685454967e-16,9.405658178084612e-17,-1.400238106045299e-16,-1.9723757746857422e-17,0.016706228422221192,0.0,0.9999999999978222,-2.177813485104707e-12,-1.2874233230451848e-15,0.015280551188858562,0.018402165056425394,-1.8228557322929045e-15,-2.4699276841318044e-16,-1.5767651122095072e-15,-2.136600838605121e-16,0.18376851651652532,9.140480254457407e-08,1.0576887428375142e-11,4.5702401272293154e-08,2.5009849371736787e-05,0.007615220042656915,0.9847194488089637,0.007615220042655636,2.5009849371732877e-05,4.570240127228092e-08
12,cyclic,40.0,0.0027108143450757668,0.018402165056425352,4.0766001685454967e-16,9.542854229965292e-17,-1.4690269751815286e-16,-2.5642261499453936e-17,0.0167062282279323,0.0,0.9999999999976226,-2.3774315849323102e-12,-1.4343260205633377e-15,0.01663590953510991,0.018402165056425255,-1.9973665167831252e-15,-2.401471003842527e-16,-1.7566834375884547e-15,-2.3930234535996604e-16,0.20047474474445762,1.2359835568415763e-07,1.0576887428373037e-11,6.179917784208767e-08,3.0079884367932907e-05,0.008287813084009894,0.9833640904625125,0.00828781308400847,3.0079884367927933e-05,6.179917784206996e-08
13,cyclic,40.0,0.0027051877901762694,0.018402165056425307,2.723515857283587e-16,1.271103266158764e-16,-2.1643711446615174e-16,-2.033581846058746e-17,0.016706227985159333,0.0,0.9999999999974243,-2.575717417130363e-12,-1.6507631350294894e-15,0.01798845462735233,0.018402165056425394,-2.2447618609463778e-15,-2.2201446359026165e-16,-2.0217636835096683e-15,-2.596381638205535e-16,0.21718097272961695,1.625585466130251e-07,1.057688742837093e-11,8.127927330652508e-08,3.560974869334043e-05,0.00895853628571034,0.9820115453700717,0.008958536285708703,3.560974869333421e-05,8.127927330650002e-08
14,cyclic,40.0,0.0026995742289230647,0.018402165056425338,3.400058012914542e-16,1.4723587222216e-16,-2.2311885446133636e-16,-2.1696272487886073e-17,0.01670622768856833,0.0,0.9999999999972241,-2.775890628470279e-12,-1.873881989490826e-15,0.019338192962443046,0.018402165056425394,-2.5336833896852153e-15,-2.4072110636131946e-16,-2.2950273562219564e-15,-2.8133443630843957e-16,0.23388720041818528,2.0891919935096847e-07,1.0576887428368823e-11,1.044595996755015e-07,4.159750916178984e-05,0.00962739451246099,0.9806618070347809,0.009627394512459132,4.1597509161782237e-05,1.0445959967546699e-07
15,cyclic,40.0,0.002693973629785105,0.018402165056425328,3.400058012914542e-16,1.4447457474708717e-16,-2.310667763637707e-16,-2.1130653002467213e-17,0.016706227332851542,0.0,0.9999999999970252,-2.974842594483107e-12,-2.1049487658545965e-15,0.02068513102147695,0.01840216505642553,-2.8216822814590346e-15,-2.4518360894478737e-16,-2.578025205522472e-15,-3.024650893109068e-16,0.2505934277510368,2.633110151140773e-07,1.0576887428366715e-11,1.3165550755706176e-07,4.804123886449163e-05,0.010294392616367474,0.9793148689755482,0.010294392616365387,4.804123886448238e-05,1.3165550755701555e-07
16,cyclic,40.0,0.002688385961322276,0.01840216505642534,3.400058012914542e-16,1.3339424294680018e-16,-2.1592976820078772e-16,-2.6256089070972387e-17,0.016706226912727384,0.0,0.9999999999968263,-3.1736835381934725e-12,-2.3208785340553843e-15,0.022029275269826037,0.018402165056425255,-3.098005892958122e-15,-2.5481560170604095e-16,-2.8424840817071613e-15,-3.2872117838187917e-16,0.2672996546637642,3.263615831920651e-07,1.0576887428364612e-11,1.631807915960631e-07,5.493901715150386e-05,0.010959535436971075,0.9779707247270002,0.010959535436968777,5.493901715149276e-05,1.6318079159600197e-07
17,zero_stress_hold,40.0,0.002682811192166357,0.018402165056425338,3.400058012914542e-16,1.9618438913939236e-16,-3.4009368096134426e-16,-2.031277651744418e-17,0.016706226422940396,0.0,0.999999999996626,-3.3739677718358507e-12,-2.6609722150167285e-15,0.02337063215717852,0.01840216505642553,-3.4918681371437903e-15,-2.312476411743779e-16,-3.259012073257255e-15,-3.4903395489932335e-16,0.2840058810867046,3.986953917923372e-07,1.0576887428362505e-11,1.9934769589620803e-07,6.228892961325204e-05,0.011622827801281436,0.9766293678394476,0.0116228278012788,6.228892961323887e-05,1.993476958961292e-07
18,zero_stress_hold,40.0,0.002677249291027956,0.018402165056425335,3.400058012914542e-16,2.0426320069901823e-16,-3.308267170020143e-16,-1.6166894347769203e-17,0.016706225858260537,0.0,0.9999999999964249,-3.575140183897929e-12,-2.9917989320187428e-15,0.02470920811757807,0.018402165056425394,-3.9132983588880305e-15,-2.526995665695294e-16,-3.6641903982247885e-15,-3.6520084924709256e-16,0.30071210694496514,4.809338388509e-07,1.057688742836037e-11,2.4046691942550036e-07,7.008906806210103e-05,0.012284274523808994,0.9752907918788468,0.012284274523806035,7.008906806208539e-05,2.4046691942539967e-07
19,zero_stress_hold,40.0,0.0026717002266925813,0.018402165056425335,3.400058012914542e-16,2.22170657016695e-16,-3.7924100268500843e-16,-2.1665885180903325e-17,0.016706225213484804,0.0,0.9999999999962265,-3.7735370383984446e-12,-3.3710399347037512e-15,0.02604500956946284,0.018402165056425394,-4.3590600021806256e-15,-2.3059446866661844e-16,-4.1286638712846564e-15,-3.868667344279959e-16,0.31741833215844995,5.736952428101883e-07,1.0576887428358272e-11,2.868476214051577e-07,7.833753051397855e-05,0.012943880406597712,0.9739549904267637,0.012943880406594378,7.833753051396035e-05,2.868476214050306e-07
20,zero_stress_hold,40.0,0.002666163968035607,0.01840216505642534,4.0766001685454967e-16,2.0710891653893088e-16,-3.384917299002562e-16,-1.9071582082141013e-17,0.01670622448343495,0.0,0.9999999999960264,-3.973599227435898e-12,-3.7095316646040075e-15,0.027378042915704278,0.018402165056425255,-4.774319513788487e-15,-2.314311960057384e-16,-4.5432298814884625e-15,-4.059383165101369e-16,0.3341245566418849,6.775948533639237e-07,1.0576887428356152e-11,3.387974266820407e-07,8.70324211700514e-05,0.01360165023925725,0.9726219570803223,0.013601650239253582,8.703242117003026e-05,3.3879742668188304e-07
21,zero_stress_hold,40.0,0.00266064048399556,0.018402165056425328,3.400058012914542e-16,1.8537410533371434e-16,-2.907330477186775e-16,-1.7652854835049263e-17,0.01670622366295882,0.0,0.999999999995827,-4.172995282658576e-12,-4.000264712322685e-15,0.028708314543646262,0.01840216505642512,-5.1504437867609705e-15,-2.5293641778778487e-16,-4.899303690625959e-15,-4.2359117134518616e-16,0.3508307803048437,7.932448621690972e-07,1.0576887428354044e-11,3.966224310846457e-07,9.617185039845197e-05,0.014257588798995583,0.9712916854521807,0.014257588798991631,9.617185039842777e-05,3.9662243108445145e-07
22,zero_stress_hold,40.0,0.00265512974359961,0.018402165056425307,3.400058012914542e-16,1.1845322980794707e-16,-2.0133888453108652e-16,-1.567969158442037e-17,0.0167062227469294,0.0,0.9999999999956255,-4.374500761628042e-12,-4.2016035968537715e-15,0.03003583082514354,0.018402165056425394,-5.387422475300283e-15,-2.3876210753777665e-16,-5.14589245686711e-15,-4.3927086292960653e-16,0.3675370030517731,9.212544135251633e-07,1.0576887428351916e-11,4.606272067626994e-07,0.00010575393471605769,0.014911700850651036,0.969964169170482,0.01491170085064689,0.00010575393471603019,4.6062720676246385e-07
23,zero_stress_hold,40.0,0.0026496317159411392,0.018402165056425335,3.400058012914542e-16,1.5049940061365893e-16,-2.3713195578344973e-16,-1.4868498718746768e-17,0.016706221730245552,0.0,0.9999999999954257,-4.57434090606057e-12,-4.438735552637221e-15,0.0313605981166006,0.018402165056425255,-5.693522687379108e-15,-2.572954397953227e-16,-5.436318603555948e-15,-4.541393616483533e-16,0.38424322478201867,1.062229615020531e-06,1.0576887428349806e-11,5.311148075104074e-07,0.00011577679677032022,0.015563991146724673,0.9686394018788251,0.015563991146720298,0.00011577679677028916,5.311148075101235e-07
24,zero_stress_hold,40.0,0.0026441463702023722,0.018402165056425328,4.0766001685454967e-16,1.506649954702856e-16,-2.8919017720556776e-16,-2.9337939040218353e-17,0.0167062206078315,0.0,0.9999999999952259,-4.774070028190636e-12,-4.727925729842789e-15,0.03268262275901014,0.018402165056425394,-5.998150829910875e-15,-2.0932058691938206e-16,-5.790502789945292e-15,-4.8347730068857165e-16,0.40094944538985017,1.216773548146483e-06,1.0576887428347683e-11,6.083867740734105e-07,0.00012623856532114843,0.016214464427412197,0.9673173772362158,0.01621446442740754,0.0001262385653211133,6.083867740730724e-07
