run,parameter,value,units
grid_continuation,C,0.3585151829522061,eV per normalized site basis
grid_continuation,D3,105.86160515362025,eV per normalized site basis
grid_continuation,D1,11.115687883900124,eV per normalized site basis
grid_continuation,D2,15.57155861502277,eV per normalized site basis
grid_continuation,D_E,0.002118830743319089,eV per normalized site basis
grid_continuation,K3,-3.8088672796338324e-12,eV per normalized site basis
grid_continuation,shape_0,2.600496913430549,see definition.json: reduced exponential decay or declared extension shape
grid_continuation,shape_1,3.2,see definition.json: reduced exponential decay or declared extension shape
grid_continuation,shape_2,6.999999999999999,see definition.json: reduced exponential decay or declared extension shape
grid_verified_polish,u,0.6023687808189986,eV per normalized site basis
grid_verified_polish,v,3.392113957331354,eV per normalized site basis
grid_verified_polish,A,16.970025204102548,eV per normalized site basis
grid_verified_polish,B,34.86783790886996,eV per normalized site basis
grid_verified_polish,C,0.39707199095927437,eV per normalized site basis
grid_verified_polish,D3,114.42145364007865,eV per normalized site basis
grid_verified_polish,D1,24.71344037193296,eV per normalized site basis
grid_verified_polish,D2,23.76994982750812,eV per normalized site basis
grid_verified_polish,D_E,0.002484822287936561,eV per normalized site basis
grid_verified_polish,K3,6.479077931747269e-13,eV per normalized site basis
grid_verified_polish,shape_0,3.0817573228610886,see definition.json: reduced exponential decay or declared extension shape
grid_verified_polish,shape_1,3.7405522584208017,see definition.json: reduced exponential decay or declared extension shape
grid_verified_polish,shape_2,6.846328291246644,see definition.json: reduced exponential decay or declared extension shape
joint_bulk_interface,u,0.21479891880223126,eV per normalized site basis
joint_bulk_interface,v,1.3087363869674857,eV per normalized site basis
joint_bulk_interface,A,8.390788995458088,eV per normalized site basis
joint_bulk_interface,B,15.614197839897704,eV per normalized site basis
joint_bulk_interface,C,2.4281800169159067,eV per normalized site basis
joint_bulk_interface,D3,125.26142963961153,eV per normalized site basis
joint_bulk_interface,D1,7.944783834828418,eV per normalized site basis
joint_bulk_interface,D2,98.83563151948083,eV per normalized site basis
joint_bulk_interface,D_E,0.0038343588933860318,eV per normalized site basis
joint_bulk_interface,K3,60940.7189842211,eV per normalized site basis
joint_bulk_interface,shape_0,2.5394818243561468,see definition.json: reduced exponential decay or declared extension shape
joint_bulk_interface,shape_1,5.010816519316839,see definition.json: reduced exponential decay or declared extension shape
joint_bulk_interface,shape_2,5.235317693279496,see definition.json: reduced exponential decay or declared extension shape
joint_quartic,u,0.5269551440966773,eV per normalized site basis
joint_quartic,v,3.0730020231639736,eV per normalized site basis
joint_quartic,A,17.52624139527333,eV per normalized site basis
joint_quartic,B,35.084703499782464,eV per normalized site basis
joint_quartic,C,1.9064761380364814,eV per normalized site basis
joint_quartic,D3,175.9094592364712,eV per normalized site basis
joint_quartic,D1,15.391499336442996,eV per normalized site basis
joint_quartic,D2,5.9615642072602695,eV per normalized site basis
joint_quartic,D_E,0.2585516161454955,eV per normalized site basis
joint_quartic,K3,171171.98239528286,eV per normalized site basis
joint_quartic,shape_0,2.54825785609907,see definition.json: reduced exponential decay or declared extension shape
joint_quartic,shape_1,4.678211074906818,see definition.json: reduced exponential decay or declared extension shape
joint_quartic,shape_2,11.048742006284282,see definition.json: reduced exponential decay or declared extension shape
mixed_density,u,0.5269684735362988,eV per normalized site basis
mixed_density,v,3.073226093949311,eV per normalized site basis
mixed_density,A,17.526108960066946,eV per normalized site basis
mixed_density,B,35.0857091139226,eV per normalized site basis
mixed_density,C,1.906075692245543,eV per normalized site basis
mixed_density,D3,175.90274382811597,eV per normalized site basis
mixed_density,D1,15.391290838205949,eV per normalized site basis
mixed_density,D2,5.960431529873639,eV per normalized site basis
mixed_density,D_E,0.2585743444098212,eV per normalized site basis
mixed_density,K3,171167.25495607159,eV per normalized site basis
mixed_density,shape_0,2.5482640352947623,see definition.json: reduced exponential decay or declared extension shape
mixed_density,shape_1,4.678254073131572,see definition.json: reduced exponential decay or declared extension shape
mixed_density,shape_2,11.049380156445192,see definition.json: reduced exponential decay or declared extension shape
mixed_density,shape_3,0.00012341292282683943,see definition.json: reduced exponential decay or declared extension shape
rational_development,u,0.5153762044664361,eV per normalized site basis
rational_development,v,3.0054075825353896,eV per normalized site basis
rational_development,A,17.92571823187185,eV per normalized site basis
rational_development,B,35.40937266275977,eV per normalized site basis
rational_development,C,2.249933664137509,eV per normalized site basis
rational_development,D3,162.40753944489407,eV per normalized site basis
rational_development,D1,3.195190441372921,eV per normalized site basis
rational_development,D2,5.506877877394785,eV per normalized site basis
rational_development,D_E,0.27202308861347013,eV per normalized site basis
rational_development,K3,518983.7404544781,eV per normalized site basis
rational_development,shape_0,2.359476304043065,see definition.json: reduced exponential decay or declared extension shape
rational_development,shape_1,4.400023998396962,see definition.json: reduced exponential decay or declared extension shape
rational_development,shape_2,11.50241316101267,see definition.json: reduced exponential decay or declared extension shape
rational_development,shape_3,934.8749637387139,see definition.json: reduced exponential decay or declared extension shape
spatial_stiffness_fit,u,0.4764648793864645,eV per normalized site basis
spatial_stiffness_fit,v,2.746257423923284,eV per normalized site basis
spatial_stiffness_fit,A,14.670170789488468,eV per normalized site basis
spatial_stiffness_fit,B,29.530597673375418,eV per normalized site basis
spatial_stiffness_fit,C,1.263540315583659,eV per normalized site basis
spatial_stiffness_fit,D3,41.728166910152574,eV per normalized site basis
spatial_stiffness_fit,D1,16.62223316293381,eV per normalized site basis
spatial_stiffness_fit,D2,3.548494272855348,eV per normalized site basis
spatial_stiffness_fit,D_E,0.2805529775827269,eV per normalized site basis
spatial_stiffness_fit,K3,254074.05410460863,eV per normalized site basis
spatial_stiffness_fit,shape_0,2.9001205503037526,see definition.json: reduced exponential decay or declared extension shape
spatial_stiffness_fit,shape_1,5.106153345950392,see definition.json: reduced exponential decay or declared extension shape
spatial_stiffness_fit,shape_2,11.999999999999995,see definition.json: reduced exponential decay or declared extension shape
